Gene,Screen,Plate,Project,Dataset,Image,Phenotype,Phenotype Term Name,Phenotype Term Accession,Phenotype Term Accession URL
MITF,idr0009-simpson-secretion/screenA (17),0046-05--2005-08-15,-,-,302820,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
MITF,idr0009-simpson-secretion/screenA (17),0046-13--2005-09-08,-,-,1382538,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
MITF,idr0009-simpson-secretion/screenA (17),0046-27--2005-09-23,-,-,1382804,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
MITF,idr0009-simpson-secretion/screenA (17),0046-41--2005-09-27,-,-,1383457,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
MITF,idr0009-simpson-secretion/screenA (17),0046-48--2005-09-02,-,-,1383590,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
JAG1,idr0009-simpson-secretion/screenA (14),0158-09--2006-02-23,-,-,840749,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-12--2006-03-09,-,-,841621,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-15--2006-03-13,-,-,844008,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-17--2006-05-15,-,-,845282,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-30--2006-02-22,-,-,846035,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-33--2006-05-12,-,-,846519,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenA (14),0158-45--2006-03-13,-,-,849485,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-01--2007-04-03,-,-,1317298,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-02--2007-04-05,-,-,1317991,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-04--2007-04-14,-,-,1318292,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-05--2007-04-04,-,-,1318477,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-08--2007-04-15,-,-,1318865,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-09--2007-04-08,-,-,1319359,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-10--2007-04-10,-,-,1319601,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-11--2007-05-30,-,-,1320297,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-12--2007-05-31,-,-,1320429,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
JAG1,idr0009-simpson-secretion/screenB (10),0306-13--2007-06-01,-,-,1321142,strong inhibition of secretion,strong decrease in rate of protein secretion,CMPO_0000319,http://www.ebi.ac.uk/cmpo/CMPO_0000319
GJB1,idr0009-simpson-secretion/screenA (12),0092-03--2006-02-07,-,-,1449748,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-03--2006-02-07,-,-,1449821,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-16--2006-01-25,-,-,1450138,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-16--2006-01-25,-,-,1450235,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-19--2006-05-10,-,-,400424,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-19--2006-05-10,-,-,400267,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-22--2006-02-24,-,-,400570,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-22--2006-02-24,-,-,400618,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-28--2006-02-17,-,-,1450595,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-28--2006-02-17,-,-,1450280,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-41--2006-03-04,-,-,1450762,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
GJB1,idr0009-simpson-secretion/screenA (12),0092-41--2006-03-04,-,-,1450801,enhanced secretion,increased rate of protein secretion,CMPO_0000246,http://www.ebi.ac.uk/cmpo/CMPO_0000246
